epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,640.371,1.026,1.1934,0.0136,0.62026,0.67815,0.73178,0.58122,0.9052,1.106,0.01373,0.00884029,0.00884029,0.00884029
43,652.897,0.98048,1.16577,0.01234,0.55147,0.69444,0.66921,0.54446,0.80306,1.09594,0.0118,0.008812,0.008812,0.008812
44,665.369,0.94256,1.08528,0.01273,0.65198,0.7155,0.73128,0.56687,0.90664,1.00458,0.01358,0.00878371,0.00878371,0.00878371
45,677.885,0.95138,1.05757,0.01258,0.59989,0.74761,0.74268,0.60228,0.80684,1.02624,0.01205,0.00875543,0.00875543,0.00875543
46,690.409,0.9441,1.01964,0.0121,0.65745,0.64046,0.70919,0.58894,0.8157,1.07422,0.01242,0.00872714,0.00872714,0.00872714
47,702.942,0.88755,1.02754,0.01131,0.61729,0.62633,0.71094,0.57191,0.8297,1.01767,0.01172,0.00869886,0.00869886,0.00869886
48,715.402,0.9201,1.01229,0.01153,0.67306,0.73279,0.76952,0.61647,0.84841,0.97572,0.01283,0.00867057,0.00867057,0.00867057
49,727.922,0.87331,0.99532,0.01147,0.61762,0.672,0.72435,0.59983,0.73252,1.06418,0.01072,0.00864229,0.00864229,0.00864229
50,740.422,0.85443,1.01031,0.01106,0.78258,0.65407,0.78107,0.64043,0.83078,1.02731,0.01304,0.008614,0.008614,0.008614
51,752.942,0.86136,0.99384,0.01119,0.64895,0.72704,0.73509,0.59571,0.8443,1.09377,0.0126,0.00858571,0.00858571,0.00858571
52,765.407,0.86868,0.95262,0.01147,0.69985,0.72714,0.73627,0.59222,0.82821,1.10182,0.01223,0.00855743,0.00855743,0.00855743
53,777.923,0.8715,0.98649,0.01131,0.49577,0.75592,0.63439,0.53039,0.79573,1.19442,0.01207,0.00852914,0.00852914,0.00852914
54,790.43,0.86672,0.95545,0.0107,0.69883,0.70927,0.729,0.59177,0.83072,1.09269,0.01286,0.00850086,0.00850086,0.00850086
55,802.937,0.86025,0.93952,0.01057,0.76246,0.69135,0.78498,0.66364,0.77343,0.92431,0.01173,0.00847257,0.00847257,0.00847257
56,815.381,0.8734,0.94526,0.01122,0.59817,0.68493,0.68877,0.56089,0.79955,1.18964,0.0121,0.00844429,0.00844429,0.00844429
57,827.881,0.87581,0.96226,0.01167,0.56259,0.72804,0.70037,0.5735,0.81313,1.08898,0.01304,0.008416,0.008416,0.008416
58,840.373,0.8716,0.91379,0.01149,0.87084,0.54575,0.76744,0.64,0.78657,0.96756,0.0118,0.00838771,0.00838771,0.00838771
59,852.881,0.84134,0.96771,0.01067,0.58298,0.70859,0.70254,0.58561,0.77041,1.11129,0.01087,0.00835943,0.00835943,0.00835943
60,865.335,0.87522,0.95645,0.01112,0.54274,0.70766,0.6827,0.56009,0.77637,1.08653,0.01153,0.00833114,0.00833114,0.00833114
61,878.029,0.83152,0.9432,0.01081,0.77414,0.68707,0.77853,0.65188,0.74181,0.91882,0.01081,0.00830286,0.00830286,0.00830286
62,890.783,0.78902,0.87852,0.01,0.76918,0.67469,0.78519,0.62742,0.80252,0.95314,0.01184,0.00827457,0.00827457,0.00827457
63,904.179,0.80773,0.91705,0.0103,0.7186,0.71504,0.79396,0.66858,0.74238,0.94981,0.01115,0.00824629,0.00824629,0.00824629
64,917.134,0.78142,0.92766,0.01046,0.56899,0.68322,0.72805,0.62057,0.77129,0.97607,0.01144,0.008218,0.008218,0.008218
65,930.056,0.83174,0.88794,0.0107,0.64099,0.66817,0.72061,0.60756,0.76145,1.04325,0.01121,0.00818971,0.00818971,0.00818971
66,943.044,0.76575,0.88404,0.00993,0.62514,0.73333,0.7647,0.64258,0.71421,0.97633,0.01031,0.00816143,0.00816143,0.00816143
67,956.092,0.80737,0.83228,0.00984,0.7924,0.63858,0.74723,0.60725,0.78417,1.14554,0.01149,0.00813314,0.00813314,0.00813314
68,968.808,0.8162,0.80005,0.01061,0.7264,0.75301,0.8156,0.6641,0.73538,0.91078,0.01035,0.00810486,0.00810486,0.00810486
69,981.405,0.78907,0.76249,0.00976,0.6795,0.79274,0.79429,0.64967,0.72008,0.8605,0.011,0.00807657,0.00807657,0.00807657
70,994.036,0.84188,0.79348,0.01082,0.662,0.73473,0.77097,0.63231,0.77025,0.99079,0.0113,0.00804829,0.00804829,0.00804829
71,1007.36,0.76298,0.75967,0.00942,0.86603,0.65599,0.80418,0.66567,0.75293,0.92993,0.01107,0.00802,0.00802,0.00802
