epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9955,1.61339,17.6957,0.02261,0.00737,0.125,0.00078,0.0003,3.19622,909.825,0.06734,0.00197015,0.00197015,0.0822687
2,59.0978,2.08456,3.32547,0.02928,0.00106,0.08285,0.00049,8e-05,nan,nan,nan,0.00395443,0.00395443,0.0642529
3,106.705,1.97857,3.13944,0.02813,0.02744,0.05815,0.0206,0.00592,2.46387,5.19937,0.04377,0.00592287,0.00592287,0.0462214
4,153.961,1.88859,2.95185,0.0261,0.01141,0.53127,0.02137,0.00585,2.49244,3.94391,0.04105,0.00787546,0.00787546,0.028174
5,194.878,1.86008,2.79179,0.02533,0.23483,0.17238,0.14189,0.05332,2.11505,2.69175,0.03341,0.00981222,0.00981222,0.0101107
6,248.105,1.70026,2.56202,0.02307,0.22191,0.35444,0.18058,0.07056,1.91371,2.59095,0.03256,0.009802,0.009802,0.009802
7,303.897,1.78185,2.47782,0.02395,0.21801,0.44102,0.25418,0.13215,1.92134,2.49187,0.03244,0.0097624,0.0097624,0.0097624
8,333.119,1.74333,2.37491,0.02488,0.22018,0.45852,0.22688,0.10782,1.98534,2.36785,0.03212,0.0097228,0.0097228,0.0097228
9,367.913,1.78734,2.39451,0.02544,0.45822,0.39358,0.35428,0.18866,1.87442,1.94109,0.02944,0.0096832,0.0096832,0.0096832
10,403.691,1.61991,2.29454,0.02274,0.31925,0.49783,0.36805,0.22006,1.60556,2.08985,0.02436,0.0096436,0.0096436,0.0096436
11,473.261,1.56571,2.04536,0.02193,0.24201,0.33064,0.2203,0.1256,1.65845,2.64522,0.0268,0.009604,0.009604,0.009604
12,499.316,1.499,2.10236,0.02126,0.43583,0.46284,0.38044,0.25015,1.45713,1.85626,0.02204,0.0095644,0.0095644,0.0095644
13,545.975,1.46708,1.99899,0.01991,0.33656,0.43954,0.3868,0.26281,1.33746,1.85333,0.01938,0.0095248,0.0095248,0.0095248
14,587.465,1.43112,1.84717,0.01978,0.48281,0.53284,0.45038,0.30843,1.34744,1.76559,0.0206,0.0094852,0.0094852,0.0094852
15,629.073,1.43357,1.85902,0.01944,0.38428,0.628,0.43373,0.29765,1.37156,1.85181,0.02092,0.0094456,0.0094456,0.0094456
16,655.769,1.37703,1.79322,0.01897,0.39756,0.60643,0.50523,0.35139,1.29495,1.57287,0.01889,0.009406,0.009406,0.009406
17,688.876,1.39196,1.74431,0.01939,0.57003,0.4254,0.47802,0.33265,1.34633,1.71279,0.01974,0.0093664,0.0093664,0.0093664
18,730.514,1.36475,1.7085,0.01849,0.42369,0.64814,0.525,0.36162,1.32748,1.53621,0.01936,0.0093268,0.0093268,0.0093268
19,796.582,1.40141,1.72658,0.01878,0.46811,0.64832,0.57558,0.42381,1.29507,1.45921,0.01886,0.0092872,0.0092872,0.0092872
20,822.491,1.35956,1.68044,0.01825,0.49233,0.5681,0.52879,0.37287,1.26492,1.55981,0.01923,0.0092476,0.0092476,0.0092476
21,869.109,1.44811,1.75065,0.01991,0.54327,0.56252,0.5341,0.35978,1.31952,2.03255,0.01974,0.009208,0.009208,0.009208
22,910.561,1.32125,1.66244,0.01756,0.40915,0.6625,0.55506,0.40584,1.21032,1.42469,0.01766,0.0091684,0.0091684,0.0091684
23,952.133,1.30241,1.62086,0.01791,0.5749,0.55439,0.62317,0.43956,1.17316,1.31784,0.01705,0.0091288,0.0091288,0.0091288
24,978.91,1.23311,1.48703,0.01665,0.52098,0.706,0.68474,0.4997,1.16438,1.32034,0.01687,0.0090892,0.0090892,0.0090892
25,1009.23,1.26617,1.43846,0.01663,0.56655,0.65601,0.60504,0.42543,1.21086,1.30398,0.01774,0.0090496,0.0090496,0.0090496
26,1039.57,1.29437,1.55297,0.01735,0.59449,0.51841,0.54624,0.37882,1.28868,1.49943,0.01892,0.00901,0.00901,0.00901
27,1105.55,1.3536,1.53476,0.01799,0.64059,0.45127,0.61134,0.42733,1.35375,1.54115,0.01976,0.0089704,0.0089704,0.0089704
28,1131.41,1.30903,1.50229,0.018,0.49758,0.63334,0.60688,0.42395,1.22497,1.39166,0.01901,0.0089308,0.0089308,0.0089308
29,1165.91,1.24931,1.36348,0.01656,0.57779,0.69418,0.68292,0.49496,1.11277,1.24843,0.0162,0.0088912,0.0088912,0.0088912
30,1207.43,1.19822,1.39873,0.01605,0.49932,0.63523,0.60603,0.43518,1.19263,1.39708,0.01676,0.0088516,0.0088516,0.0088516
31,1237.74,1.20688,1.34858,0.01662,0.62002,0.61809,0.64846,0.49608,1.01314,1.52524,0.0142,0.008812,0.008812,0.008812
32,1279.29,1.15692,1.39717,0.01536,0.61807,0.66778,0.74916,0.56498,1.05816,1.24149,0.01466,0.0087724,0.0087724,0.0087724
33,1320.93,1.22047,1.36513,0.0161,0.68975,0.7239,0.72232,0.54714,1.03965,1.0946,0.01486,0.0087328,0.0087328,0.0087328
34,1351.24,1.17014,1.32069,0.0158,0.61423,0.63551,0.68904,0.51774,1.05358,1.41959,0.01527,0.0086932,0.0086932,0.0086932
35,1417.28,1.14741,1.25868,0.01564,0.65154,0.63322,0.70852,0.55078,1.06647,1.12746,0.01572,0.0086536,0.0086536,0.0086536
36,1443.16,1.17151,1.28445,0.01594,0.66167,0.56214,0.65203,0.49629,1.12051,1.3377,0.01695,0.008614,0.008614,0.008614
37,1486.59,1.11649,1.28658,0.01427,0.60855,0.61632,0.65733,0.5283,0.92759,1.10791,0.01316,0.0085744,0.0085744,0.0085744
38,1528.03,1.1253,1.25256,0.01507,0.59381,0.60203,0.64817,0.48177,1.10095,1.28643,0.01597,0.0085348,0.0085348,0.0085348
39,1558.37,1.14437,1.32275,0.01548,0.5397,0.73635,0.64034,0.47383,1.15902,1.33153,0.01768,0.0084952,0.0084952,0.0084952
40,1599.91,1.13274,1.24537,0.01499,0.66163,0.75987,0.78683,0.60793,1.12857,1.17927,0.01605,0.0084556,0.0084556,0.0084556
41,1620.95,1.12765,1.15913,0.01524,0.63773,0.72635,0.75929,0.59997,1.02167,1.0602,0.01441,0.008416,0.008416,0.008416
42,1651.28,1.13397,1.15259,0.01509,0.65728,0.70191,0.7538,0.56523,1.18058,1.11493,0.01659,0.0083764,0.0083764,0.0083764
43,1692.1,1.14688,1.24084,0.01481,0.6957,0.7089,0.74444,0.59097,0.97438,1.03917,0.01385,0.0083368,0.0083368,0.0083368
44,1746.99,1.11433,1.19113,0.01497,0.58049,0.80266,0.73437,0.55349,1.04407,1.02525,0.01495,0.0082972,0.0082972,0.0082972
45,1773.1,1.08438,1.10623,0.01425,0.48739,0.70254,0.62651,0.472,1.09252,1.40367,0.01545,0.0082576,0.0082576,0.0082576
46,1806.9,1.07085,1.15387,0.0143,0.67,0.7179,0.7203,0.55759,0.96152,1.25209,0.01363,0.008218,0.008218,0.008218
