epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,772.693,0.61815,0.66104,0.0075,0.71747,0.72853,0.79669,0.68569,0.61222,0.82551,0.0086,0.0275391,0.00917971,0.0275391,0.00917971,0.0275391,0.00917971,0.0275391,0.00917971
31,798.312,0.62389,0.59517,0.00778,0.68095,0.74837,0.78671,0.6872,0.59949,0.86598,0.00836,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
32,823.382,0.60753,0.59005,0.00739,0.74192,0.75379,0.80232,0.69511,0.63003,0.87189,0.00915,0.0273694,0.00912314,0.0273694,0.00912314,0.0273694,0.00912314,0.0273694,0.00912314
33,849.084,0.59042,0.54724,0.00713,0.66131,0.80264,0.79169,0.69934,0.54026,0.88472,0.00751,0.0272846,0.00909486,0.0272846,0.00909486,0.0272846,0.00909486,0.0272846,0.00909486
34,874.456,0.60878,0.51008,0.00755,0.76475,0.84221,0.87557,0.75577,0.58579,0.66397,0.00765,0.0271997,0.00906657,0.0271997,0.00906657,0.0271997,0.00906657,0.0271997,0.00906657
35,896.585,0.59699,0.53843,0.00743,0.83632,0.77471,0.87635,0.77022,0.55015,0.64631,0.00767,0.0271149,0.00903829,0.0271149,0.00903829,0.0271149,0.00903829,0.0271149,0.00903829
36,922.665,0.60182,0.52799,0.00721,0.72887,0.76844,0.82473,0.72175,0.55228,0.82514,0.00762,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
37,943.169,0.5775,0.53943,0.00706,0.80072,0.70479,0.84624,0.74865,0.54359,0.77391,0.00805,0.0269451,0.00898171,0.0269451,0.00898171,0.0269451,0.00898171,0.0269451,0.00898171
38,963.484,0.59273,0.51408,0.0071,0.7179,0.79552,0.85173,0.74126,0.60765,0.78407,0.00859,0.0268603,0.00895343,0.0268603,0.00895343,0.0268603,0.00895343,0.0268603,0.00895343
39,984.134,0.59041,0.49034,0.0071,0.76532,0.71874,0.79359,0.68204,0.63394,1.06009,0.00925,0.0267754,0.00892514,0.0267754,0.00892514,0.0267754,0.00892514,0.0267754,0.00892514
40,1004.21,0.56204,0.49788,0.00675,0.86858,0.71612,0.86345,0.76137,0.55259,0.71397,0.00777,0.0266906,0.00889686,0.0266906,0.00889686,0.0266906,0.00889686,0.0266906,0.00889686
41,1026.69,0.57209,0.54469,0.00676,0.72522,0.73643,0.7684,0.63806,0.66589,0.98999,0.00926,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
42,1052.32,0.58819,0.49896,0.00696,0.80102,0.80051,0.8693,0.75576,0.59501,0.73248,0.00866,0.0265209,0.00884029,0.0265209,0.00884029,0.0265209,0.00884029,0.0265209,0.00884029
43,1078.04,0.56244,0.54489,0.00672,0.77933,0.7945,0.85597,0.75936,0.51338,0.77416,0.00745,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
44,1102.09,0.54599,0.48612,0.00673,0.85538,0.76348,0.87107,0.79072,0.50138,0.66113,0.00718,0.0263511,0.00878371,0.0263511,0.00878371,0.0263511,0.00878371,0.0263511,0.00878371
45,1124.93,0.55491,0.51527,0.00694,0.79944,0.82741,0.86634,0.7653,0.50506,0.66529,0.00719,0.0262663,0.00875543,0.0262663,0.00875543,0.0262663,0.00875543,0.0262663,0.00875543
46,1150.34,0.53853,0.47188,0.00642,0.78615,0.81846,0.87266,0.76853,0.55628,0.69857,0.0077,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
