epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.5366,0.79468,7.88735,0.00976,0.00757,0.66238,0.05483,0.03914,0.50345,3.4519,0.00716,0.00590323,0.00196774,0.00590323,0.00196774,0.0862258,0.0822903,0.00590323,0.00196774
2,57.6694,0.68684,5.89776,0.00827,0.4192,0.12605,0.14458,0.13025,0.56291,2.68437,0.00756,0.0118696,0.00395652,0.0118696,0.00395652,0.0721921,0.0642791,0.0118696,0.00395652
3,83.9627,0.72144,4.61532,0.00873,0.23653,0.39297,0.24691,0.21138,0.67961,2.19732,0.00924,0.0178019,0.00593398,0.0178019,0.00593398,0.0581245,0.0462566,0.0178019,0.00593398
4,107.915,0.81912,3.76241,0.00991,0.32545,0.48958,0.36063,0.30429,0.73951,1.77658,0.01137,0.0237004,0.00790013,0.0237004,0.00790013,0.044023,0.0282227,0.0237004,0.00790013
5,124.46,0.82805,3.1934,0.00993,0.36665,0.4606,0.43291,0.34517,0.80924,1.59664,0.01192,0.0295649,0.00985496,0.0295649,0.00985496,0.0298875,0.0101775,0.0295649,0.00985496
6,136.782,0.86294,2.80372,0.01025,0.32684,0.57394,0.41823,0.34674,0.70901,1.71282,0.0101,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857
7,149.04,0.85887,2.45932,0.01014,0.40411,0.55546,0.50393,0.40615,0.78139,1.61125,0.01138,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029
8,163.929,0.89595,2.16604,0.01058,0.38774,0.49738,0.40245,0.33916,0.7913,1.81715,0.01138,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
9,186.681,0.84515,2.01489,0.01035,0.43471,0.58366,0.52346,0.44517,0.69961,1.62123,0.00958,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371
10,208.224,0.79715,1.80888,0.00979,0.31411,0.62009,0.49786,0.41166,0.76,1.53669,0.01049,0.0292363,0.00974543,0.0292363,0.00974543,0.0292363,0.00974543,0.0292363,0.00974543
11,229.794,0.79845,1.68343,0.0095,0.46904,0.52287,0.54909,0.43959,0.69335,1.29753,0.00935,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714
