epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
42;1908,77;1,07502;1,27428;0,01464;0,54412;0,63082;0,65101;0,48753;1,15103;1,54563;0,0161;0,00884029;0,00884029;0,00884029
43;1974,39;1,05141;1,24982;0,01359;0,75388;0,61491;0,7314;0,57284;0,98379;0,99387;0,01461;0,008812;0,008812;0,008812
44;2036,88;1,06993;1,23156;0,01433;0,739;0,72869;0,76875;0,59571;0,91093;0,90751;0,01309;0,00878371;0,00878371;0,00878371
45;2064,19;1,03328;1,17282;0,01353;0,61786;0,75274;0,73647;0,58154;0,89601;1,16494;0,01308;0,00875543;0,00875543;0,00875543
46;2104,84;1,03314;1,17628;0,01384;0,55912;0,71596;0,75006;0,54901;1,07738;1,31937;0,01552;0,00872714;0,00872714;0,00872714
47;2157,92;0,99714;1,14048;0,01351;0,71137;0,69379;0,79346;0,61913;0,99709;0,97733;0,01404;0,00869886;0,00869886;0,00869886
48;2178,95;0,99674;1,06783;0,01308;0,67218;0,73051;0,75483;0,60595;0,93478;0,93276;0,01342;0,00867057;0,00867057;0,00867057
49;2213,24;1,00827;1,17424;0,01328;0,58437;0,75203;0,76665;0,57073;1,08542;1,07823;0,01584;0,00864229;0,00864229;0,00864229
50;2273,87;1,08546;1,1485;0,01388;0,66718;0,75146;0,78341;0,6241;0,94343;1,10073;0,01352;0,008614;0,008614;0,008614
51;2314,85;0,96834;1,09059;0,01282;0,591;0,7382;0,73013;0,5569;1,04786;1,04538;0,01484;0,00858571;0,00858571;0,00858571
52;2368,49;1,00709;1,14348;0,01322;0,69774;0,66824;0,71542;0,56023;1,01614;1,03343;0,0148;0,00855743;0,00855743;0,00855743
53;2418,91;0,98473;1,08261;0,01297;0,65089;0,7555;0,77608;0,61536;0,99293;0,93712;0,01441;0,00852914;0,00852914;0,00852914
54;2463,38;0,96217;1,03892;0,01227;0,66765;0,74507;0,77198;0,63237;0,88284;0,93519;0,0119;0,00850086;0,00850086;0,00850086
55;2489,76;0,92909;1,00425;0,01194;0,67188;0,72053;0,77767;0,61612;0,91665;0,83728;0,01257;0,00847257;0,00847257;0,00847257
56;2529,58;0,96319;0,99527;0,01297;0,71325;0,71516;0,80775;0,65678;0,79952;0,87103;0,01134;0,00844429;0,00844429;0,00844429
57;2576,82;0,95106;1,0652;0,01196;0,61057;0,69014;0,71954;0,56724;0,96009;1,05765;0,01353;0,008416;0,008416;0,008416
58;2621,95;0,94322;0,97345;0,01281;0,68828;0,73401;0,81382;0,62717;0,96241;0,88936;0,01399;0,00838771;0,00838771;0,00838771
59;2662,46;0,92887;0,97902;0,01251;0,71786;0,79966;0,84852;0,68165;0,94004;1,00448;0,01268;0,00835943;0,00835943;0,00835943
60;2724,73;0,92945;1,00513;0,01214;0,74638;0,6759;0,76934;0,63531;0,8449;1,07243;0,0124;0,00833114;0,00833114;0,00833114
61;2787,25;0,94375;1,01006;0,0123;0,64108;0,76319;0,75701;0,58981;1,02627;0,97269;0,01398;0,00830286;0,00830286;0,00830286
62;2814,03;0,95098;0,98142;0,01189;0,70241;0,68067;0,75948;0,61702;0,95217;0,93835;0,01297;0,00827457;0,00827457;0,00827457
63;2854,93;0,90343;0,94205;0,01178;0,65232;0,76761;0,79207;0,64427;0,8816;0,88061;0,01219;0,00824629;0,00824629;0,00824629
64;2902,14;0,91884;0,91742;0,01187;0,63698;0,80805;0,81042;0,63126;0,96371;0,94144;0,01341;0,008218;0,008218;0,008218
65;2949,56;0,95694;0,94487;0,0121;0,78177;0,67506;0,81969;0,65852;0,95416;0,872;0,01303;0,00818971;0,00818971;0,00818971
66;2996,76;0,89485;0,91206;0,01204;0,77602;0,78066;0,8247;0,67331;0,92604;0,75524;0,01311;0,00816143;0,00816143;0,00816143
67;3062,53;0,90899;0,91814;0,01201;0,73329;0,75843;0,83151;0,68239;0,92134;0,81261;0,01237;0,00813314;0,00813314;0,00813314
68;3129,11;0,90307;0,97545;0,01194;0,68742;0,73266;0,76887;0,62608;0,86992;1,00472;0,01214;0,00810486;0,00810486;0,00810486
69;3171,55;0,88907;0,93487;0,01169;0,71948;0,76109;0,82649;0,66097;0,9567;0,83875;0,01363;0,00807657;0,00807657;0,00807657
70;3211,8;0,86631;0,85368;0,01134;0,70611;0,76224;0,82018;0,68018;0,84986;0,83305;0,0117;0,00804829;0,00804829;0,00804829
71;3262,83;0,90205;0,9029;0,0116;0,75186;0,80186;0,84898;0,6988;0,8315;0,72105;0,01168;0,00802;0,00802;0,00802
72;3298,72;0,88692;0,83475;0,01152;0,83184;0,76951;0,8708;0,71789;0,87216;0,7014;0,0121;0,00799171;0,00799171;0,00799171
73;3351,17;0,85557;0,82703;0,0111;0,79889;0,71349;0,8222;0,66191;0,87385;0,71192;0,01216;0,00796343;0,00796343;0,00796343
74;3399,05;0,86579;0,85874;0,01137;0,70196;0,79713;0,83539;0,66951;0,81214;0,73361;0,01156;0,00793514;0,00793514;0,00793514
75;3441,23;0,78032;0,76071;0,00985;0,75862;0,74065;0,82636;0,67633;0,85917;0,82996;0,01196;0,00790686;0,00790686;0,00790686
76;3497,61;0,81349;0,76041;0,01072;0,79615;0,68984;0,81904;0,6744;0,81225;0,84808;0,01125;0,00787857;0,00787857;0,00787857
77;3542,58;0,86052;0,81972;0,01072;0,80161;0,76152;0,84945;0,70993;0,76725;0,74289;0,01049;0,00785029;0,00785029;0,00785029
78;3569,1;0,82433;0,78601;0,01106;0,73278;0,80499;0,81804;0,65609;0,92078;0,88046;0,01265;0,007822;0,007822;0,007822
79;3620,58;0,81832;0,85665;0,01042;0,8193;0,72875;0,85501;0,6919;0,88467;0,93987;0,01234;0,00779371;0,00779371;0,00779371
80;3656,61;0,81265;0,81389;0,01039;0,669;0,80154;0,80636;0,64857;0,87045;0,95396;0,01196;0,00776543;0,00776543;0,00776543
81;3692,45;0,84376;0,83805;0,01082;0,70989;0,79951;0,84351;0,68642;0,84409;0,74924;0,01191;0,00773714;0,00773714;0,00773714
82;3737,8;0,85788;0,84828;0,01139;0,75753;0,78485;0,85302;0,70186;0,76644;0,74482;0,01067;0,00770886;0,00770886;0,00770886
83;3804,82;0,79767;0,76503;0,01036;0,79466;0,7884;0,83814;0,68784;0,83396;0,7686;0,01157;0,00768057;0,00768057;0,00768057
84;3871,29;0,82588;0,7787;0,01124;0,75816;0,76151;0,83945;0,68461;0,83623;0,71146;0,01174;0,00765229;0,00765229;0,00765229
85;3916,2;0,83984;0,80354;0,01128;0,72127;0,76022;0,82388;0,65923;0,86549;0,80552;0,01171;0,007624;0,007624;0,007624
86;3958;0,83597;0,79558;0,01073;0,80038;0,70609;0,81405;0,653;0,81314;0,84253;0,01116;0,00759571;0,00759571;0,00759571
87;4009,52;0,82836;0,78812;0,01077;0,78775;0,73287;0,83608;0,6729;0,81899;0,72239;0,01119;0,00756743;0,00756743;0,00756743
88;4036,75;0,76294;0,76166;0,00988;0,72208;0,79764;0,84857;0,70777;0,78873;0,73569;0,01099;0,00753914;0,00753914;0,00753914
89;4072,62;0,78945;0,76061;0,01041;0,78043;0,72994;0,83062;0,68403;0,89005;0,79647;0,01255;0,00751086;0,00751086;0,00751086
90;4121,03;0,78004;0,69493;0,01006;0,74028;0,85366;0,86689;0,70971;0,82443;0,66987;0,01133;0,00748257;0,00748257;0,00748257
91;4188;0,75664;0,67674;0,00987;0,77161;0,76429;0,81449;0,67951;0,78484;0,76706;0,01087;0,00745429;0,00745429;0,00745429
92;4241,21;0,7762;0,67254;0,01008;0,75961;0,79276;0,82676;0,67233;0,86096;0,90158;0,01183;0,007426;0,007426;0,007426
93;4307,83;0,79984;0,68427;0,0106;0,82198;0,76908;0,85728;0,69856;0,83172;0,68153;0,01157;0,00739771;0,00739771;0,00739771
94;4364,23;0,79169;0,69403;0,01047;0,73562;0,74331;0,82817;0,68538;0,81825;0,82398;0,01109;0,00736943;0,00736943;0,00736943
95;4415,82;0,76449;0,70146;0,00963;0,78061;0,82331;0,87775;0,71591;0,86721;0,68703;0,01174;0,00734114;0,00734114;0,00734114
96;4462,13;0,78898;0,69634;0,01014;0,8584;0,77616;0,86715;0,70971;0,80208;0,68885;0,01095;0,00731286;0,00731286;0,00731286
97;4509,78;0,75418;0,64703;0,00967;0,81485;0,76521;0,86081;0,70073;0,78001;0,6754;0,0108;0,00728457;0,00728457;0,00728457
98;4542,7;0,75803;0,67156;0,00995;0,82546;0,75489;0,86067;0,7249;0,78987;0,71993;0,01081;0,00725629;0,00725629;0,00725629
99;4585,18;0,75879;0,63914;0,00965;0,68372;0,87584;0,85128;0,70838;0,79421;0,78472;0,01074;0,007228;0,007228;0,007228
100;4639,98;0,78073;0,67335;0,0103;0,73067;0,86052;0,87286;0,72243;0,80345;0,71213;0,01098;0,00719971;0,00719971;0,00719971
101;4675,46;0,74672;0,65904;0,00952;0,7253;0,81401;0,85439;0,71537;0,7513;0,75377;0,01046;0,00717143;0,00717143;0,00717143
102;4707,15;0,72666;0,67402;0,00925;0,81275;0,75259;0,84288;0,71196;0,75183;0,81117;0,0101;0,00714314;0,00714314;0,00714314
103;4742,9;0,74994;0,73565;0,00971;0,71952;0,79501;0,81849;0,68626;0,78663;0,79745;0,01094;0,00711486;0,00711486;0,00711486
104;4790,92;0,72257;0,63261;0,00932;0,81211;0,78118;0,89127;0,75338;0,74906;0,70819;0,01014;0,00708657;0,00708657;0,00708657
105;4813,1;0,74871;0,69442;0,00966;0,68816;0,76798;0,80854;0,65981;0,79765;0,90604;0,01112;0,00705829;0,00705829;0,00705829
106;4845,65;0,73924;0,67083;0,00934;0,7085;0,80439;0,8512;0,71291;0,74965;0,76275;0,01013;0,00703;0,00703;0,00703
107;4912,3;0,73158;0,67507;0,00934;0,8173;0,74613;0,86352;0,73306;0,7231;0,69819;0,01016;0,00700171;0,00700171;0,00700171
108;4940,57;0,70148;0,61262;0,00913;0,77824;0,80889;0,88234;0,73487;0,78351;0,65188;0,01094;0,00697343;0,00697343;0,00697343
109;5009,37;0,73551;0,67564;0,00972;0,73609;0,81597;0,8638;0,72571;0,75248;0,65735;0,01026;0,00694514;0,00694514;0,00694514
110;5045,85;0,69358;0,63529;0,00865;0,79603;0,77319;0,8616;0,72288;0,73215;0,81181;0,01;0,00691686;0,00691686;0,00691686
111;5096,98;0,69223;0,64928;0,00893;0,82006;0,77508;0,82802;0,69434;0,73072;0,67341;0,00983;0,00688857;0,00688857;0,00688857
112;5133,36;0,72499;0,6922;0,00948;0,81999;0,7846;0,86996;0,71937;0,79123;0,7469;0,01056;0,00686029;0,00686029;0,00686029
113;5189,94;0,70693;0,65349;0,0092;0,85623;0,74429;0,88033;0,72998;0,76187;0,60149;0,0104;0,006832;0,006832;0,006832
114;5237,91;0,7255;0,61964;0,00923;0,82329;0,77714;0,87615;0,72455;0,7786;0,74063;0,01055;0,00680371;0,00680371;0,00680371
115;5304,66;0,68326;0,59347;0,00868;0,8281;0,74461;0,8457;0,71127;0,74038;0,77738;0,01029;0,00677543;0,00677543;0,00677543
116;5357,48;0,67653;0,61359;0,0088;0,87562;0,74005;0,85601;0,71531;0,77578;0,84523;0,01068;0,00674714;0,00674714;0,00674714
117;5423,86;0,70016;0,5943;0,00903;0,81778;0,76879;0,84616;0,71454;0,66305;0,75541;0,0092;0,00671886;0,00671886;0,00671886
118;5460,07;0,67397;0,62504;0,00876;0,81295;0,75581;0,87004;0,73939;0,70099;0,59947;0,00943;0,00669057;0,00669057;0,00669057
119;5511,31;0,66247;0,59359;0,00818;0,72603;0,84668;0,85945;0,73153;0,68784;0,70469;0,00926;0,00666229;0,00666229;0,00666229
