epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.719,0.92898,5.75856,0.0097,0.00968,0.66365,0.06111,0.05051,0.41801,3.40999,0.00572,0.00590323,0.00196774,0.00590323,0.00196774,0.0862258,0.0822903,0.00590323,0.00196774
2,49.1389,0.81384,4.69507,0.00858,0.45492,0.13982,0.20679,0.1741,0.51585,2.65449,0.00679,0.0118696,0.00395652,0.0118696,0.00395652,0.0721921,0.0642791,0.0118696,0.00395652
3,65.4074,0.84765,3.85096,0.00873,0.19641,0.39028,0.2766,0.23962,0.61039,2.05235,0.00886,0.0178019,0.00593398,0.0178019,0.00593398,0.0581245,0.0462566,0.0178019,0.00593398
4,80.4123,0.8712,3.12123,0.00848,0.34621,0.56459,0.41145,0.3387,0.78962,1.70596,0.01092,0.0237004,0.00790013,0.0237004,0.00790013,0.044023,0.0282227,0.0237004,0.00790013
5,94.9832,0.94626,2.82371,0.00978,0.4327,0.37769,0.44048,0.34745,0.83348,1.62517,0.01239,0.0295649,0.00985496,0.0295649,0.00985496,0.0298875,0.0101775,0.0295649,0.00985496
6,109.438,0.93348,2.57756,0.00939,0.37043,0.62132,0.46484,0.36998,0.80783,1.59493,0.01186,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857
7,123.802,0.92636,2.32709,0.00945,0.40098,0.5802,0.50137,0.41534,0.75028,1.59953,0.01006,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029
8,138.754,0.96485,2.22122,0.0099,0.46139,0.57875,0.56396,0.4725,0.69408,1.26301,0.00956,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
9,155.331,0.8955,2.01064,0.00925,0.52845,0.6264,0.6151,0.52298,0.63468,1.17412,0.00941,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371
10,170.201,0.89412,1.81634,0.00953,0.503,0.65139,0.58249,0.50745,0.58014,1.40758,0.00829,0.0292363,0.00974543,0.0292363,0.00974543,0.0292363,0.00974543,0.0292363,0.00974543
11,184.174,0.8593,1.74099,0.00903,0.52428,0.72829,0.63195,0.54125,0.6415,1.23562,0.00852,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714
12,200.037,0.82546,1.58648,0.00837,0.59393,0.65415,0.67388,0.5784,0.60406,1.06691,0.00839,0.0290666,0.00968886,0.0290666,0.00968886,0.0290666,0.00968886,0.0290666,0.00968886
13,215.701,0.83018,1.53927,0.00836,0.57076,0.6734,0.67289,0.58966,0.57698,1.06972,0.00794,0.0289817,0.00966057,0.0289817,0.00966057,0.0289817,0.00966057,0.0289817,0.00966057
14,233.298,0.82656,1.453,0.00841,0.54205,0.67377,0.6461,0.56906,0.54359,1.30298,0.00786,0.0288969,0.00963229,0.0288969,0.00963229,0.0288969,0.00963229,0.0288969,0.00963229
15,245.643,0.81953,1.43697,0.00849,0.54973,0.59601,0.5887,0.49718,0.73478,1.27348,0.01097,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
16,258.47,0.83381,1.45596,0.00848,0.4914,0.78876,0.6845,0.57827,0.65515,1.02268,0.00925,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
17,276.855,0.84061,1.40379,0.00815,0.56208,0.68869,0.70662,0.61018,0.59187,1.11811,0.00807,0.0286423,0.00954743,0.0286423,0.00954743,0.0286423,0.00954743,0.0286423,0.00954743
18,297.235,0.82523,1.31078,0.00839,0.71688,0.72421,0.76493,0.66356,0.62379,0.97773,0.00897,0.0285574,0.00951914,0.0285574,0.00951914,0.0285574,0.00951914,0.0285574,0.00951914
19,315.239,0.79626,1.25937,0.00822,0.74834,0.64215,0.74955,0.64768,0.60865,0.92745,0.0083,0.0284726,0.00949086,0.0284726,0.00949086,0.0284726,0.00949086,0.0284726,0.00949086
20,331.941,0.82429,1.22379,0.00809,0.64781,0.70517,0.75501,0.63204,0.64039,0.97013,0.00935,0.0283877,0.00946257,0.0283877,0.00946257,0.0283877,0.00946257,0.0283877,0.00946257
21,346.395,0.81009,1.15932,0.00791,0.59893,0.73822,0.69978,0.62422,0.54937,1.10164,0.00778,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
22,362.835,0.7681,1.14263,0.008,0.60726,0.74452,0.72518,0.6421,0.58347,1.08673,0.00792,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
23,378.928,0.79389,1.06002,0.00759,0.7323,0.70125,0.75304,0.665,0.61095,1.03032,0.0086,0.0281331,0.00937771,0.0281331,0.00937771,0.0281331,0.00937771,0.0281331,0.00937771
24,390.934,0.78526,1.08588,0.00799,0.69224,0.68438,0.73742,0.65455,0.55095,0.99451,0.00768,0.0280483,0.00934943,0.0280483,0.00934943,0.0280483,0.00934943,0.0280483,0.00934943
25,403.125,0.78447,1.0667,0.00794,0.63089,0.76338,0.75283,0.67227,0.51757,0.97771,0.00723,0.0279634,0.00932114,0.0279634,0.00932114,0.0279634,0.00932114,0.0279634,0.00932114
26,415.971,0.76078,1.04351,0.00747,0.64922,0.77797,0.71923,0.63831,0.53593,1.02624,0.00746,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
27,431.738,0.7652,1.05374,0.00775,0.87698,0.66507,0.84898,0.74807,0.56482,0.75094,0.00783,0.0277937,0.00926457,0.0277937,0.00926457,0.0277937,0.00926457,0.0277937,0.00926457
28,445.642,0.74147,1.03545,0.00749,0.66208,0.77892,0.7826,0.69213,0.51417,0.93262,0.00705,0.0277089,0.00923629,0.0277089,0.00923629,0.0277089,0.00923629,0.0277089,0.00923629
29,461.133,0.75431,0.99788,0.00765,0.63146,0.65036,0.71017,0.62373,0.54556,1.2444,0.00736,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
30,479.983,0.77083,1.04975,0.0076,0.61056,0.84414,0.78524,0.69202,0.53885,0.85423,0.00713,0.0275391,0.00917971,0.0275391,0.00917971,0.0275391,0.00917971,0.0275391,0.00917971
31,492.224,0.75717,1.03897,0.00804,0.72694,0.69689,0.77646,0.68589,0.54385,1.07585,0.00755,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
32,504.143,0.78525,0.97125,0.0079,0.63655,0.7363,0.78246,0.68081,0.61303,0.97733,0.00928,0.0273694,0.00912314,0.0273694,0.00912314,0.0273694,0.00912314,0.0273694,0.00912314
33,516.277,0.78033,0.96042,0.00805,0.73568,0.70313,0.75221,0.64773,0.59652,0.9504,0.00795,0.0272846,0.00909486,0.0272846,0.00909486,0.0272846,0.00909486,0.0272846,0.00909486
34,529.082,0.76497,0.9414,0.00778,0.70823,0.74892,0.79156,0.7123,0.52698,0.8952,0.00722,0.0271997,0.00906657,0.0271997,0.00906657,0.0271997,0.00906657,0.0271997,0.00906657
35,543.342,0.75752,0.90755,0.00767,0.78043,0.73123,0.83371,0.74629,0.51796,0.80272,0.00723,0.0271149,0.00903829,0.0271149,0.00903829,0.0271149,0.00903829,0.0271149,0.00903829
36,557.664,0.76456,0.97035,0.0079,0.85138,0.77389,0.84445,0.74374,0.57495,0.91032,0.00832,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
37,572.54,0.75803,0.90424,0.0075,0.7717,0.72783,0.78425,0.69578,0.51281,0.93821,0.00738,0.0269451,0.00898171,0.0269451,0.00898171,0.0269451,0.00898171,0.0269451,0.00898171
38,586.531,0.76843,0.95889,0.00767,0.73818,0.7812,0.81799,0.70622,0.60431,0.82236,0.00817,0.0268603,0.00895343,0.0268603,0.00895343,0.0268603,0.00895343,0.0268603,0.00895343
39,598.81,0.72971,0.87736,0.00731,0.72617,0.78761,0.86318,0.77385,0.51464,0.696,0.00711,0.0267754,0.00892514,0.0267754,0.00892514,0.0267754,0.00892514,0.0267754,0.00892514
40,616.015,0.75055,0.91037,0.00728,0.70008,0.68336,0.75945,0.66593,0.54575,0.94004,0.00736,0.0266906,0.00889686,0.0266906,0.00889686,0.0266906,0.00889686,0.0266906,0.00889686
41,634.879,0.71047,0.8914,0.00702,0.69504,0.82297,0.81947,0.73258,0.50444,0.81112,0.00733,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
42,653.763,0.71586,0.8842,0.00679,0.69453,0.73232,0.74299,0.67055,0.50129,0.91907,0.00716,0.0265209,0.00884029,0.0265209,0.00884029,0.0265209,0.00884029,0.0265209,0.00884029
43,672.996,0.72979,0.85968,0.00703,0.68847,0.79087,0.82715,0.73497,0.50997,0.76207,0.00741,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
44,691.808,0.72838,0.88427,0.00737,0.72487,0.68566,0.77233,0.68359,0.5709,0.99331,0.00888,0.0263511,0.00878371,0.0263511,0.00878371,0.0263511,0.00878371,0.0263511,0.00878371
45,710.257,0.72283,0.81293,0.00728,0.65169,0.76943,0.79147,0.70934,0.52917,1.00195,0.00732,0.0262663,0.00875543,0.0262663,0.00875543,0.0262663,0.00875543,0.0262663,0.00875543
46,722.44,0.73015,0.79519,0.00744,0.75634,0.70517,0.81522,0.71571,0.52712,0.81356,0.00732,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
47,734.669,0.70692,0.83198,0.00721,0.78707,0.77773,0.84282,0.76683,0.50459,0.79999,0.0068,0.0260966,0.00869886,0.0260966,0.00869886,0.0260966,0.00869886,0.0260966,0.00869886
48,747.745,0.72028,0.81859,0.00721,0.67352,0.77829,0.77933,0.69492,0.51879,0.97378,0.00719,0.0260117,0.00867057,0.0260117,0.00867057,0.0260117,0.00867057,0.0260117,0.00867057
49,768.002,0.69315,0.77654,0.00695,0.70248,0.83788,0.83477,0.76285,0.47595,0.8375,0.00692,0.0259269,0.00864229,0.0259269,0.00864229,0.0259269,0.00864229,0.0259269,0.00864229
50,786.477,0.70994,0.7812,0.00709,0.78894,0.77963,0.83373,0.73088,0.53014,0.78189,0.0074,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
51,806.101,0.68973,0.78877,0.00664,0.71644,0.74227,0.79866,0.72054,0.51395,0.96827,0.00687,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
52,823.714,0.68051,0.76187,0.00678,0.75,0.73964,0.84778,0.75253,0.51095,0.79182,0.0065,0.0256723,0.00855743,0.0256723,0.00855743,0.0256723,0.00855743,0.0256723,0.00855743
53,843.109,0.71108,0.80428,0.00741,0.82124,0.75708,0.8325,0.75829,0.47938,0.79451,0.00677,0.0255874,0.00852914,0.0255874,0.00852914,0.0255874,0.00852914,0.0255874,0.00852914
54,861.17,0.7053,0.75669,0.0075,0.77167,0.82038,0.87943,0.79777,0.47126,0.67136,0.00657,0.0255026,0.00850086,0.0255026,0.00850086,0.0255026,0.00850086,0.0255026,0.00850086
55,881.084,0.68457,0.73588,0.00701,0.75566,0.78624,0.84532,0.75491,0.50975,0.75674,0.00714,0.0254177,0.00847257,0.0254177,0.00847257,0.0254177,0.00847257,0.0254177,0.00847257
56,898.849,0.71737,0.77499,0.00714,0.6845,0.76132,0.81817,0.74659,0.45376,0.80818,0.00607,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
57,918.457,0.6671,0.75607,0.00657,0.76557,0.77216,0.82209,0.73988,0.49037,0.87305,0.00686,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
58,937.021,0.73169,0.76718,0.00748,0.82743,0.72844,0.83489,0.76007,0.47091,0.79931,0.00618,0.0251631,0.00838771,0.0251631,0.00838771,0.0251631,0.00838771,0.0251631,0.00838771
59,956.732,0.67767,0.71758,0.00661,0.73431,0.7916,0.83572,0.7389,0.54518,0.81272,0.00747,0.0250783,0.00835943,0.0250783,0.00835943,0.0250783,0.00835943,0.0250783,0.00835943
60,974.472,0.68903,0.73674,0.00702,0.70281,0.7343,0.78242,0.69735,0.49217,1.01199,0.00674,0.0249934,0.00833114,0.0249934,0.00833114,0.0249934,0.00833114,0.0249934,0.00833114
61,993.761,0.69972,0.72017,0.00676,0.76406,0.70015,0.80225,0.72558,0.50127,0.94107,0.00692,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
62,1012.43,0.69623,0.77286,0.00682,0.74703,0.80467,0.81095,0.73843,0.46693,0.80671,0.00612,0.0248237,0.00827457,0.0248237,0.00827457,0.0248237,0.00827457,0.0248237,0.00827457
63,1031.7,0.70881,0.75756,0.00703,0.76355,0.7956,0.86198,0.75465,0.57543,0.72082,0.00783,0.0247389,0.00824629,0.0247389,0.00824629,0.0247389,0.00824629,0.0247389,0.00824629
64,1049.52,0.70987,0.7433,0.00707,0.7463,0.82202,0.85827,0.77473,0.47546,0.75002,0.00617,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
65,1068.9,0.66838,0.70273,0.00676,0.74125,0.78285,0.81543,0.73979,0.48962,0.8331,0.00679,0.0245691,0.00818971,0.0245691,0.00818971,0.0245691,0.00818971,0.0245691,0.00818971
66,1087.55,0.68112,0.70237,0.00684,0.71019,0.74999,0.81631,0.73963,0.52557,0.85715,0.00726,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
