epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2084,0.77048,8.19504,0.00888,0.22324,0.42107,0.27746,0.24472,0.55558,2.96785,0.00769,0.0003,0.0003,0.0003
2,36.6529,0.76231,3.53393,0.00826,0.43542,0.54704,0.48706,0.40191,0.64676,1.64036,0.00862,0.000597922,0.000597922,0.000597922
3,50.1535,0.80506,2.16299,0.00876,0.43511,0.54792,0.51428,0.41487,0.70614,1.5718,0.00939,0.000883568,0.000883568,0.000883568
4,65.1612,0.87918,1.64474,0.0094,0.4377,0.59943,0.56743,0.45754,0.77713,1.51182,0.01147,0.0009406,0.0009406,0.0009406
5,78.1772,0.80338,1.42288,0.00887,0.66519,0.57655,0.61389,0.52582,0.66333,1.33852,0.00914,0.0009208,0.0009208,0.0009208
6,91.8563,0.78489,1.32827,0.00857,0.46233,0.63289,0.53901,0.45709,0.64787,1.54404,0.00869,0.000901,0.000901,0.000901
7,106.067,0.76728,1.2312,0.00872,0.49689,0.77848,0.70168,0.61034,0.58129,1.0229,0.00767,0.0008812,0.0008812,0.0008812
8,120.167,0.75314,1.15541,0.00856,0.54894,0.765,0.74216,0.64581,0.51696,1.05922,0.00695,0.0008614,0.0008614,0.0008614
9,133.782,0.69771,1.04962,0.00782,0.61938,0.67281,0.72382,0.62516,0.62688,0.90799,0.00906,0.0008416,0.0008416,0.0008416
10,147.634,0.71804,1.02488,0.00828,0.59148,0.80156,0.76453,0.64645,0.66853,0.89211,0.00984,0.0008218,0.0008218,0.0008218
11,160.968,0.69161,0.9323,0.00808,0.70917,0.79772,0.79457,0.67324,0.60188,0.86958,0.00822,0.000802,0.000802,0.000802
12,174.177,0.66454,0.90997,0.00735,0.72983,0.79055,0.8539,0.76849,0.49704,0.76641,0.00672,0.0007822,0.0007822,0.0007822
13,187.307,0.63521,0.82367,0.00709,0.63436,0.77081,0.77359,0.68113,0.55535,0.9059,0.00787,0.0007624,0.0007624,0.0007624
14,200.453,0.64876,0.90137,0.00712,0.6926,0.80097,0.80529,0.73347,0.47528,0.79085,0.00639,0.0007426,0.0007426,0.0007426
15,213.666,0.61175,0.82568,0.00674,0.77472,0.74066,0.83508,0.75697,0.46983,0.71662,0.00622,0.0007228,0.0007228,0.0007228
16,226.998,0.64813,0.78405,0.00691,0.63847,0.87952,0.80074,0.71721,0.47716,0.77933,0.00631,0.000703,0.000703,0.000703
17,240.028,0.64261,0.78779,0.00663,0.82234,0.77545,0.88127,0.79167,0.44836,0.74095,0.00575,0.0006832,0.0006832,0.0006832
18,255.153,0.62689,0.72646,0.00681,0.75661,0.7862,0.85331,0.75627,0.50871,0.79539,0.00699,0.0006634,0.0006634,0.0006634
19,268.002,0.59921,0.70091,0.00682,0.74421,0.73212,0.81457,0.72672,0.47476,0.77316,0.00617,0.0006436,0.0006436,0.0006436
20,280.841,0.56965,0.6285,0.00622,0.71126,0.87924,0.85618,0.76821,0.49436,0.73345,0.00678,0.0006238,0.0006238,0.0006238
21,294.308,0.57254,0.59231,0.00615,0.7859,0.80359,0.87493,0.7915,0.47056,0.75691,0.00637,0.000604,0.000604,0.000604
22,309.13,0.55698,0.60832,0.00585,0.81103,0.81365,0.89721,0.80863,0.4655,0.6332,0.00625,0.0005842,0.0005842,0.0005842
23,322.419,0.54359,0.5829,0.00591,0.67361,0.8451,0.82901,0.76182,0.42672,0.71995,0.00584,0.0005644,0.0005644,0.0005644
24,335.808,0.52784,0.5779,0.00589,0.76667,0.82228,0.85797,0.79369,0.42678,0.80029,0.00573,0.0005446,0.0005446,0.0005446
25,349.113,0.56229,0.5948,0.00583,0.73853,0.84719,0.86252,0.79991,0.40843,0.67395,0.00546,0.0005248,0.0005248,0.0005248
26,363.492,0.50366,0.53766,0.00524,0.72951,0.89219,0.89635,0.83545,0.38691,0.6061,0.00515,0.000505,0.000505,0.000505
27,376.517,0.53014,0.50615,0.00568,0.85616,0.81497,0.89236,0.82382,0.41782,0.59264,0.00535,0.0004852,0.0004852,0.0004852
28,389.292,0.52703,0.56673,0.00555,0.73703,0.83982,0.86611,0.79536,0.42523,0.78125,0.00544,0.0004654,0.0004654,0.0004654
