epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
42;898,364;0,62149;1,00142;0,98255;0,62176;0,87634;0,75353;0,6396;0,5629;1,02878;0,92477;0,00079705;0,00079705;0,00079705
43;917,336;0,60654;0,95676;0,97896;0,72511;0,78739;0,77342;0,66316;0,57233;0,90759;0,93802;0,0007921;0,0007921;0,0007921
44;936,274;0,62322;1,00129;1,00096;0,72219;0,7743;0,80231;0,69179;0,56089;0,86449;0,92439;0,00078715;0,00078715;0,00078715
45;954,986;0,60643;0,94496;0,99136;0,7264;0,79836;0,81104;0,6936;0,5617;0,85936;0,91972;0,0007822;0,0007822;0,0007822
46;973,792;0,61053;0,93044;0,98551;0,67697;0,83231;0,80832;0,70205;0,55345;0,85004;0,91721;0,00077725;0,00077725;0,00077725
47;992,463;0,60793;0,91817;0,97229;0,76524;0,76547;0,81269;0,69621;0,55972;0,83366;0,93354;0,0007723;0,0007723;0,0007723
48;1011,07;0,62901;0,97382;0,99036;0,74118;0,73967;0,80102;0,69266;0,55934;0,90306;0,93807;0,00076735;0,00076735;0,00076735
49;1029,66;0,59733;0,88383;0,97232;0,73271;0,80638;0,82435;0,73035;0,5342;0,82444;0,91243;0,0007624;0,0007624;0,0007624
50;1048,34;0,58959;0,86164;0,95712;0,71571;0,77751;0,80982;0,70833;0,53889;0,83673;0,91695;0,00075745;0,00075745;0,00075745
51;1066,94;0,58422;0,87053;0,95171;0,72592;0,76581;0,78748;0,68407;0,54603;0,86566;0,93469;0,0007525;0,0007525;0,0007525
52;1085,61;0,59809;0,87071;0,97812;0,72923;0,80313;0,82537;0,70624;0,5556;0,85801;0,91969;0,00074755;0,00074755;0,00074755
53;1104,31;0,61769;0,87817;0,96621;0,75723;0,79137;0,84086;0,72428;0,58537;0,7993;0,95981;0,0007426;0,0007426;0,0007426
54;1123,05;0,57986;0,83213;0,95836;0,73109;0,80361;0,80624;0,69165;0,58138;0,856;0,94181;0,00073765;0,00073765;0,00073765
55;1141,68;0,603;0,84912;0,98874;0,71494;0,79689;0,84702;0,73374;0,58285;0,76565;0,94137;0,0007327;0,0007327;0,0007327
56;1160,3;0,60109;0,8741;0,97676;0,7052;0,79092;0,8246;0,71517;0,55884;0,77346;0,92361;0,00072775;0,00072775;0,00072775
57;1179,1;0,56892;0,80841;0,94774;0,82826;0,72918;0,84548;0,73357;0,56694;0,78746;0,93945;0,0007228;0,0007228;0,0007228
58;1197,85;0,58082;0,84354;0,97538;0,74365;0,8208;0,83973;0,71433;0,59194;0,75996;0,95527;0,00071785;0,00071785;0,00071785
59;1216,69;0,55087;0,82295;0,95313;0,74934;0,79514;0,83121;0,71841;0,54693;0,83268;0,93593;0,0007129;0,0007129;0,0007129
60;1235,44;0,57592;0,80188;0,9587;0,75919;0,72396;0,81338;0,70716;0,55926;0,88722;0,9285;0,00070795;0,00070795;0,00070795
61;1254,19;0,56454;0,82528;0,96312;0,70659;0,7743;0,80287;0,69347;0,58422;0,86349;0,96112;0,000703;0,000703;0,000703
62;1272,9;0,57083;0,86193;0,95804;0,77889;0,66773;0,80398;0,68675;0,56637;0,86724;0,94255;0,00069805;0,00069805;0,00069805
63;1292,58;0,56001;0,81042;0,95852;0,73697;0,80834;0,82699;0,72531;0,5337;0,80629;0,93018;0,0006931;0,0006931;0,0006931
64;1311,48;0,5468;0,77058;0,9479;0,74521;0,77331;0,82891;0,72029;0,576;0,84608;0,94418;0,00068815;0,00068815;0,00068815
65;1330,23;0,55735;0,78736;0,94856;0,73819;0,79121;0,82808;0,72762;0,53852;0,81257;0,92689;0,0006832;0,0006832;0,0006832
66;1349,07;0,56364;0,77696;0,95114;0,73006;0,74002;0,8015;0,69683;0,53944;0,90157;0,91838;0,00067825;0,00067825;0,00067825
67;1367,74;0,55873;0,78323;0,95398;0,78434;0,82298;0,83706;0,71625;0,58759;0,83992;0,95829;0,0006733;0,0006733;0,0006733
68;1386,39;0,55514;0,77201;0,95809;0,77263;0,73544;0,83508;0,73046;0,54864;0,82419;0,92433;0,00066835;0,00066835;0,00066835
69;1405,11;0,55697;0,7763;0,955;0,75395;0,78286;0,82001;0,71923;0,53585;0,81511;0,9251;0,0006634;0,0006634;0,0006634
70;1423,81;0,52547;0,75484;0,94108;0,72798;0,80445;0,80687;0,70146;0,53805;0,86596;0,92038;0,00065845;0,00065845;0,00065845
71;1443,29;0,53325;0,78145;0,93691;0,75666;0,78742;0,81648;0,7146;0,53947;0,83106;0,91779;0,0006535;0,0006535;0,0006535
72;1461,93;0,53379;0,76002;0,93197;0,77436;0,81511;0,83946;0,72468;0,55015;0,75594;0,92757;0,00064855;0,00064855;0,00064855
73;1480,76;0,5478;0,75764;0,94242;0,7782;0,81134;0,84483;0,73929;0,5292;0,78671;0,92718;0,0006436;0,0006436;0,0006436
74;1499,66;0,54418;0,72342;0,94609;0,75503;0,84388;0,86778;0,76478;0,52127;0,74362;0,9105;0,00063865;0,00063865;0,00063865
75;1518,43;0,53864;0,72364;0,94169;0,8097;0,80938;0,8481;0,73958;0,54671;0,77003;0,93297;0,0006337;0,0006337;0,0006337
76;1537,11;0,52571;0,70206;0,94048;0,79581;0,79497;0,85035;0,75274;0,55151;0,71695;0,94269;0,00062875;0,00062875;0,00062875
77;1555,78;0,5491;0,72161;0,94747;0,78988;0,8187;0,85865;0,75389;0,54029;0,72333;0,92954;0,0006238;0,0006238;0,0006238
78;1574,5;0,52141;0,67062;0,92969;0,82188;0,76475;0,83889;0,72135;0,5848;0,78693;0,94441;0,00061885;0,00061885;0,00061885
79;1593,18;0,52916;0,69908;0,93754;0,70433;0,80207;0,80999;0,7056;0,57272;0,81586;0,95091;0,0006139;0,0006139;0,0006139
80;1611,92;0,52705;0,70362;0,94879;0,80056;0,73722;0,83796;0,73475;0,53879;0,74589;0,9378;0,00060895;0,00060895;0,00060895
81;1630,62;0,52959;0,69775;0,94042;0,73556;0,84213;0,84035;0,73154;0,54532;0,737;0,93093;0,000604;0,000604;0,000604
82;1649,26;0,51788;0,65155;0,9345;0,81985;0,79389;0,84278;0,74229;0,52481;0,71508;0,91996;0,00059905;0,00059905;0,00059905
83;1667,91;0,5115;0,65954;0,93527;0,84051;0,79726;0,86982;0,76636;0,51364;0,70236;0,92534;0,0005941;0,0005941;0,0005941
84;1686,76;0,53283;0,7091;0,94278;0,82123;0,70137;0,82513;0,72504;0,53601;0,80971;0,93169;0,00058915;0,00058915;0,00058915
85;1705,43;0,50221;0,66652;0,93313;0,74904;0,77069;0,82762;0,72263;0,53517;0,82489;0,92953;0,0005842;0,0005842;0,0005842
86;1724,22;0,52727;0,67185;0,94164;0,74817;0,72154;0,80545;0,70769;0,53144;0,87837;0,91861;0,00057925;0,00057925;0,00057925
87;1742,99;0,50827;0,6452;0,93961;0,79095;0,73746;0,80695;0,71046;0,53609;0,83154;0,92445;0,0005743;0,0005743;0,0005743
88;1761,78;0,50356;0,67236;0,93406;0,826;0,7326;0,82759;0,72162;0,53541;0,78733;0,93831;0,00056935;0,00056935;0,00056935
89;1780,53;0,49806;0,67072;0,93678;0,76398;0,69232;0,79682;0,7015;0,52928;0,84619;0,93409;0,0005644;0,0005644;0,0005644
90;1799,19;0,51199;0,65203;0,94701;0,80089;0,72423;0,82744;0,72453;0,54316;0,77302;0,9413;0,00055945;0,00055945;0,00055945
91;1817,79;0,50728;0,6114;0,93453;0,73898;0,83483;0,83491;0,7308;0,54092;0,78809;0,94291;0,0005545;0,0005545;0,0005545
92;1836,48;0,48944;0,62922;0,93032;0,82477;0,74555;0,82785;0,71906;0,53057;0,77022;0,93083;0,00054955;0,00054955;0,00054955
93;1855,25;0,51158;0,64063;0,93865;0,83188;0,77314;0,8445;0,74121;0,51035;0,74011;0,91687;0,0005446;0,0005446;0,0005446
94;1873,97;0,499;0,67136;0,92683;0,77322;0,80096;0,83522;0,73273;0,49636;0,79611;0,91061;0,00053965;0,00053965;0,00053965
95;1892,69;0,52153;0,67141;0,93354;0,82388;0,79355;0,86761;0,7619;0,52118;0,67903;0,9362;0,0005347;0,0005347;0,0005347
96;1911,17;0,50405;0,64113;0,93482;0,78203;0,84582;0,8754;0,75869;0,5577;0,68133;0,95734;0,00052975;0,00052975;0,00052975
97;1929,83;0,4956;0,64814;0,93273;0,80661;0,81157;0,8534;0,74525;0,53526;0,75706;0,93667;0,0005248;0,0005248;0,0005248
98;1948,56;0,50638;0,66326;0,93741;0,78471;0,7899;0,85271;0,74232;0,55404;0,74906;0,95744;0,00051985;0,00051985;0,00051985
99;1967,25;0,48331;0,59845;0,92902;0,69755;0,90271;0,85331;0,75553;0,53906;0,71103;0,94633;0,0005149;0,0005149;0,0005149
100;1985,89;0,51057;0,64553;0,92206;0,75641;0,78194;0,84677;0,74509;0,54449;0,72976;0,94578;0,00050995;0,00050995;0,00050995
101;2004,46;0,50406;0,64969;0,93911;0,803;0,77947;0,85452;0,74518;0,52396;0,75889;0,9231;0,000505;0,000505;0,000505
102;2023,1;0,48158;0,59557;0,92571;0,79404;0,82878;0,8636;0,74842;0,53219;0,72012;0,94445;0,00050005;0,00050005;0,00050005
103;2041,72;0,48643;0,61744;0,92481;0,81239;0,7917;0,87478;0,77317;0,52716;0,72203;0,93514;0,0004951;0,0004951;0,0004951
104;2060,41;0,48647;0,64049;0,93357;0,72403;0,87874;0,86363;0,76122;0,55726;0,75481;0,96531;0,00049015;0,00049015;0,00049015
105;2079,07;0,50447;0,62774;0,94132;0,79016;0,80058;0,8464;0,74177;0,55112;0,73025;0,95645;0,0004852;0,0004852;0,0004852
106;2097,63;0,48687;0,63695;0,93165;0,78873;0,74039;0,82558;0,72389;0,54664;0,74774;0,95203;0,00048025;0,00048025;0,00048025
107;2116,29;0,48838;0,60563;0,92363;0,77511;0,79481;0,85253;0,75268;0,51049;0,74166;0,92477;0,0004753;0,0004753;0,0004753
108;2134,97;0,50815;0,60399;0,94518;0,79548;0,83494;0,86745;0,7676;0,51936;0,66616;0,92961;0,00047035;0,00047035;0,00047035
109;2153,61;0,49621;0,60103;0,92101;0,8008;0,81339;0,85361;0,74364;0,52992;0,66666;0,93762;0,0004654;0,0004654;0,0004654
110;2172,27;0,47819;0,57343;0,91835;0,83414;0,80117;0,83794;0,74423;0,50813;0,73924;0,92324;0,00046045;0,00046045;0,00046045
